id,name,code
yks_res_city_273,楚雄彝族自治州,675000
yks_res_city_274,红河哈尼族彝族自治州,654400
yks_res_city_275,文山壮族苗族自治州,663000
yks_res_city_276,西双版纳傣族自治州,666200
yks_res_city_277,大理白族自治州,671000
yks_res_city_278,德宏傣族景颇族自治州,678400
yks_res_city_279,怒江傈僳族自治州,671400
yks_res_city_280,迪庆藏族自治州,674400
yks_res_city_281,拉萨市,850000
yks_res_city_282,昌都地区,854000
yks_res_city_283,山南地区,856000
yks_res_city_284,日喀则地区,857000
yks_res_city_285,那曲地区,852000
yks_res_city_286,阿里地区,859100
yks_res_city_287,林芝地区,860100
yks_res_city_288,西安市,710000
yks_res_city_289,铜川市,727000
yks_res_city_290,宝鸡市,721000
yks_res_city_291,咸阳市,712000
yks_res_city_292,渭南市,714000
yks_res_city_293,延安市,716000
yks_res_city_294,汉中市,723000
yks_res_city_295,榆林市,719000
yks_res_city_296,安康市,725000
yks_res_city_297,商洛市,711500
yks_res_city_298,兰州市,730000
yks_res_city_299,嘉峪关市,735100
yks_res_city_300,金昌市,737100
yks_res_city_301,白银市,730900
yks_res_city_302,天水市,741000
yks_res_city_303,武威市,733000
yks_res_city_304,张掖市,734000
yks_res_city_305,平凉市,744000
yks_res_city_306,酒泉市,735000
yks_res_city_307,庆阳市,744500
yks_res_city_308,定西市,743000
yks_res_city_309,陇南市,742100
yks_res_city_310,临夏回族自治州,731100
yks_res_city_311,甘南藏族自治州,747000
yks_res_city_312,西宁市,810000
yks_res_city_313,海东地区,810600
yks_res_city_314,海北藏族自治州,810300
yks_res_city_315,黄南藏族自治州,811300
yks_res_city_316,海南藏族自治州,813000
yks_res_city_317,果洛藏族自治州,814000
yks_res_city_318,玉树藏族自治州,815000
yks_res_city_319,海西蒙古族藏族自治州,817000
yks_res_city_320,银川市,750000
yks_res_city_321,石嘴山市,753000
yks_res_city_322,吴忠市,751100
yks_res_city_323,固原市,756000
yks_res_city_324,中卫市,751700
yks_res_city_325,乌鲁木齐市,830000
yks_res_city_326,克拉玛依市,834000
yks_res_city_327,吐鲁番地区,838000
yks_res_city_328,哈密地区,839000
yks_res_city_329,昌吉回族自治州,831100
yks_res_city_330,博尔塔拉蒙古自治州,833400
yks_res_city_331,巴音郭楞蒙古自治州,841000
yks_res_city_332,阿克苏地区,843000
yks_res_city_333,克孜勒苏柯尔克孜自治州,835600
yks_res_city_334,喀什地区,844000
yks_res_city_335,和田地区,848000
yks_res_city_336,伊犁哈萨克自治州,833200
yks_res_city_337,塔城地区,834700
yks_res_city_338,阿勒泰地区,836500
yks_res_city_339,石河子市,832000
yks_res_city_340,阿拉尔市,843300
yks_res_city_341,图木舒克市,843900
yks_res_city_342,五家渠市,831300
yks_res_city_343,香港特别行政区,
yks_res_city_344,澳门特别行政区,
yks_res_city_345,台湾省,
