id,name
yks.res_district_456,台安县 
yks.res_district_457,岫岩满族自治县 
yks.res_district_458,海城市 
yks.res_district_459,新抚区 
yks.res_district_460,东洲区 
yks.res_district_461,望花区 
yks.res_district_462,顺城区 
yks.res_district_463,抚顺县 
yks.res_district_464,新宾满族自治县 
yks.res_district_465,清原满族自治县 
yks.res_district_466,平山区 
yks.res_district_467,溪湖区 
yks.res_district_468,明山区 
yks.res_district_469,南芬区 
yks.res_district_470,本溪满族自治县 
yks.res_district_471,桓仁满族自治县 
yks.res_district_472,元宝区 
yks.res_district_473,振兴区 
yks.res_district_474,振安区 
yks.res_district_475,宽甸满族自治县 
yks.res_district_476,东港市 
yks.res_district_477,凤城市 
yks.res_district_478,古塔区 
yks.res_district_479,凌河区 
yks.res_district_480,太和区 
yks.res_district_481,黑山县 
yks.res_district_482,义县 
yks.res_district_483,凌海市 
yks.res_district_484,北宁市 
yks.res_district_485,站前区 
yks.res_district_486,西市区 
yks.res_district_487,鲅鱼圈区 
yks.res_district_488,老边区 
yks.res_district_489,盖州市 
yks.res_district_490,大石桥市 
yks.res_district_491,海州区 
yks.res_district_492,新邱区 
yks.res_district_493,太平区 
yks.res_district_494,清河门区 
yks.res_district_495,细河区 
yks.res_district_496,阜新蒙古族自治县 
yks.res_district_497,彰武县 
yks.res_district_498,白塔区 
yks.res_district_499,文圣区 
yks.res_district_500,宏伟区 
yks.res_district_501,弓长岭区 
yks.res_district_502,太子河区 
yks.res_district_503,辽阳县 
yks.res_district_504,灯塔市 
yks.res_district_505,双台子区 
yks.res_district_506,兴隆台区 
yks.res_district_507,大洼县 
yks.res_district_508,盘山县 
yks.res_district_509,银州区 
yks.res_district_510,清河区 
yks.res_district_511,铁岭县 
yks.res_district_512,西丰县 
yks.res_district_513,昌图县 
yks.res_district_514,调兵山市 
yks.res_district_515,开原市 
yks.res_district_516,双塔区 
yks.res_district_517,龙城区 
yks.res_district_518,朝阳县 
yks.res_district_519,建平县 
yks.res_district_520,喀喇沁左翼蒙古族自治县 
yks.res_district_521,北票市 
yks.res_district_522,凌源市 
yks.res_district_523,连山区 
yks.res_district_524,龙港区 
yks.res_district_525,南票区 
yks.res_district_526,绥中县 
yks.res_district_527,建昌县 
yks.res_district_528,兴城市 
yks.res_district_529,南关区 
yks.res_district_530,宽城区 
yks.res_district_531,朝阳区 
yks.res_district_532,二道区 
yks.res_district_533,绿园区 
yks.res_district_534,双阳区 
yks.res_district_535,农安县 
yks.res_district_536,九台市 
yks.res_district_537,榆树市 
yks.res_district_538,德惠市 
yks.res_district_539,昌邑区 
yks.res_district_540,龙潭区 
yks.res_district_541,船营区 
